Date,Title,Url,Content,Google_noti,Xml_url,Content_len,Content_tokens,sentiment,summary,is_summary_same,content_len,summary_len
"March 24, 2025 at 04:02PM",BBC Radio 1 legend dead aged 76: Colleagues lead emotional tribute to star who had ... - Daily Mail,https://www.dailymail.co.uk/news/article-14528027/bbc-radio-1-andy-peebles-dead-aged-76.html,BBC Radio 1 legend DJ Andy Peebles has died aged 76 prompting a wave of tributes for the broadcasting star. Advertisement.,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,122,"['bbc', 'radio', '1', 'legend', 'dj', 'andy', 'peebles', 'died', 'aged', '76', 'prompting', 'wave', 'tributes', 'broadcasting', 'star.', 'advertisement.']",POSITIVE,BBC Radio 1 legend DJ Andy Peebles has died aged 76 prompting a wave of tributes for the broadcasting star. Advertisement.,True,21,21
"March 24, 2025 at 04:08PM",Secret 'feud' as two BBC stars go 90 days without presenting show together - The Sun,https://www.thesun.co.uk/tvandshowbiz/33997738/bbc-stars-feud-ego-clash/,Emma Barnett presenting BBC Radio 4 Today. 3. Barnett joined BBC Radio 4&39;s Today programme last yearCredit: PA. Anna Foster&nbsp;...,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,135,"['emma', 'barnett', 'presenting', 'bbc', 'radio', '4', 'today.', '3.', 'barnett', 'joined', 'bbc', 'radio', '4&39;s', 'today', 'programme', 'last', 'yearcredit:', 'pa.', 'anna', 'foster&nbsp;...']",POSITIVE,Emma Barnett presenting BBC Radio 4 Today. 3. Barnett joined BBC Radio 4&39;s Today programme last yearCredit: PA. Anna Foster&nbsp;...,True,20,20
"March 24, 2025 at 04:09PM",Andy Peebles death: BBC Radio 1 DJ behind John Lennon's final interview dies suddenly aged 76,https://www.independent.co.uk/arts-entertainment/music/news/andy-peebles-death-john-lennon-last-interview-radio-1-b2720084.html,"Peebles&39;s family confirmed the news of his death to the BBC. Born in 1948, Peebles began his career as a nightclub DJ in the late Sixties before&nbsp;...",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,156,"['peebles&39;s', 'family', 'confirmed', 'news', 'death', 'bbc.', 'born', '1948,', 'peebles', 'began', 'career', 'nightclub', 'dj', 'late', 'sixties', 'before&nbsp;...']",POSITIVE,"Peebles&39;s family confirmed the news of his death to the BBC. Born in 1948, Peebles began his career as a nightclub DJ in the late Sixties before&nbsp;...",True,27,27
"March 24, 2025 at 04:52PM",Clashing egos and scheduling headaches? Inside BBC Today's presenting problem,https://www.telegraph.co.uk/radio/radio-presenters/bbc-today-presenters/,"Inside BBC Today&39;s presenting problem. With talk of &39;tension&39; between two of its regular presenters, we look at how the Radio 4 programme lost its&nbsp;...",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,164,"['inside', 'bbc', 'today&39;s', 'presenting', 'problem.', 'talk', '&39;tension&39;', 'two', 'regular', 'presenters,', 'look', 'radio', '4', 'programme', 'lost', 'its&nbsp;...']",NEGATIVE,"Inside BBC Today&39;s presenting problem. With talk of &39;tension&39; between two of its regular presenters, we look at how the Radio 4 programme lost its&nbsp;...",True,25,25
"March 24, 2025 at 03:45PM",I've seen every Jane Austen adaptation - these are the nine worth watching - iNews,https://inews.co.uk/culture/television/jane-austen-adaptations-nine-best-3595860,"The BBC&39;s 1995 &39;Pride and Prejudice&39; may be the one to beat, but there&39;s a screen version to please every one of the author&39;s admirers.",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,150,"['bbc&39;s', '1995', '&39;pride', 'prejudice&39;', 'may', 'one', 'beat,', 'there&39;s', 'screen', 'version', 'please', 'every', 'one', 'author&39;s', 'admirers.']",POSITIVE,"The BBC&39;s 1995 &39;Pride and Prejudice&39; may be the one to beat, but there&39;s a screen version to please every one of the author&39;s admirers.",True,25,25
"March 24, 2025 at 07:57PM","US-Russia officials holding Ukraine talks in Saudi, as Russian drone attacks continue | BBC News",https://www.youtube.com/watch?v=ieFDaC8t9jU,"... bbc.com/news Ukraine Russia BBCNews. ... US-Russia officials holding Ukraine talks in Saudi, as Russian drone attacks continue | BBC News.",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,142,"['...', 'bbc.com/news', 'ukraine', 'russia', 'bbcnews.', '...', 'us-russia', 'officials', 'holding', 'ukraine', 'talks', 'saudi,', 'russian', 'drone', 'attacks', 'continue', 'bbc', 'news.']",NEGATIVE,"... bbc.com/news Ukraine Russia BBCNews. ... US-Russia officials holding Ukraine talks in Saudi, as Russian drone attacks continue | BBC News.",True,21,21
"March 24, 2025 at 05:33PM",Canada calls snap election to tackle Trump - YouTube,https://www.youtube.com/watch?v=Vk2dzbcKO1c,... Pardon. Preta Moraes New 1M views &middot; 24:55. Go to channel &middot; Canada&39;s PM Mark Carney calls snap election | BBC News. BBC News New 242K views &middot; 11:52.,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,175,"['...', 'pardon.', 'preta', 'moraes', 'new', '1m', 'views', '&middot;', '24:55.', 'go', 'channel', '&middot;', 'canada&39;s', 'pm', 'mark', 'carney', 'calls', 'snap', 'election', 'bbc', 'news.', 'bbc', 'news', 'new', '242k', 'views', '&middot;', '11:52.']",NEGATIVE,Preta Moraes New 1M views &middot; 24:55 .,False,30,19
"March 24, 2025 at 10:04PM",How the world's largest underwater tunnel is being built | BBC News - YouTube,https://www.youtube.com/watch?v=jm2ekl2agyM,... bbc.com/news Denmark Fehmarnbelt BBCNews. ... How the world&39;s largest underwater tunnel is being built | BBC News. 144 views ¡¤ 3 minutes ago&nbsp;...,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,157,"['...', 'bbc.com/news', 'denmark', 'fehmarnbelt', 'bbcnews.', '...', 'world&39;s', 'largest', 'underwater', 'tunnel', 'built', 'bbc', 'news.', '144', 'views', '¡¤', '3', 'minutes', 'ago&nbsp;...']",NEGATIVE,... bbc.com/news Denmark Fehmarnbelt BBCNews. ... How the world&39;s largest underwater tunnel is being built | BBC News. 144 views ¡¤ 3 minutes ago&nbsp;...,True,24,24
"March 24, 2025 at 10:51PM",BBC axes live episodes of Blue Peter after 66 years - The Independent,https://www.independent.co.uk/bulletin/culture/blue-peter-live-episodes-where-to-watch-b2720569.html,"The shift to pre-recorded episodes is attributed to changing audience viewing habits. The show will continue to air on CBBC, BBC Two, and BBC iPlayer.",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,150,"['shift', 'pre-recorded', 'episodes', 'attributed', 'changing', 'audience', 'viewing', 'habits.', 'show', 'continue', 'air', 'cbbc,', 'bbc', 'two,', 'bbc', 'iplayer.']",NEGATIVE,"The shift to pre-recorded episodes is attributed to changing audience viewing habits. The show will continue to air on CBBC, BBC Two, and BBC iPlayer.",True,25,25
"March 24, 2025 at 08:35PM",The three-year-old girl who braids hair like a professional - BBC URDU - YouTube,https://www.youtube.com/watch?v=rcYAg-9_Jf0,????? ??? ????? ?? ???? ????? ????? ??? ??? ?? ??? ?? ????? ????? ?? ???? ?? ?????? ??? ??????? ?? ????? ?? ???? ??? ????? ????? ?? ???? ??&nbsp;...,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,148,"['?????', '???', '?????', '??', '????', '?????', '?????', '???', '???', '??', '???', '??', '?????', '?????', '??', '????', '??', '??????', '???', '???????', '??', '?????', '??', '????', '???', '?????', '?????', '??', '????', '??&nbsp;...']",NEGATIVE,????? ??? ???? ?? ?????????????? ???????????? ?????????,False,30,15
"March 24, 2025 at 11:44PM",More than 1100 people arrested in Turkey during five days of protests | BBC News,https://www.youtube.com/watch?v=ZuPKt63nsPU,"... bbc.com/news Turkey BBCNews. ... More than 1,100 people arrested in Turkey during five days of protests | BBC News.",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,119,"['...', 'bbc.com/news', 'turkey', 'bbcnews.', '...', '1,100', 'people', 'arrested', 'turkey', 'five', 'days', 'protests', 'bbc', 'news.']",NEGATIVE,"... bbc.com/news Turkey BBCNews. ... More than 1,100 people arrested in Turkey during five days of protests | BBC News.",True,20,20
"March 25, 2025 at 12:03AM",BBC News & Views inside Europe - YouTube,https://www.youtube.com/watch?v=Pt-DOC3wpdo,Sara-Jayne Makwala King in for Clarence Ford is joined by Jonathan Frewin BBC World Service Partner Hub Broadcasting House.,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,123,"['sara-jayne', 'makwala', 'king', 'clarence', 'ford', 'joined', 'jonathan', 'frewin', 'bbc', 'world', 'service', 'partner', 'hub', 'broadcasting', 'house.']",POSITIVE,Sara-Jayne Makwala King in for Clarence Ford is joined by Jonathan Frewin BBC World Service Partner Hub Broadcasting House.,True,19,19
"March 25, 2025 at 02:01AM",Tate brothers report to Romania police after return from US | BBC News - YouTube,https://www.youtube.com/watch?v=I-hrvULfPAo,British-American influencer Andrew Tate and his brother Tristan have appeared at a police station after returning to Romania from the US.,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,137,"['british-american', 'influencer', 'andrew', 'tate', 'brother', 'tristan', 'appeared', 'police', 'station', 'returning', 'romania', 'us.']",POSITIVE,British-American influencer Andrew Tate and his brother Tristan have appeared at a police station after returning to Romania from the US.,True,21,21
"March 25, 2025 at 02:21AM",Concerns over popularity of skin bleaching creams in Nigeria | BBC News - YouTube,https://www.youtube.com/watch?v=djTyHf-7oxo,"... BBC&39;s Madina Maishanu has visited Kano state, one of several major hubs ... bbc.com/news Nigeria BBCNews.",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,112,"['...', 'bbc&39;s', 'madina', 'maishanu', 'visited', 'kano', 'state,', 'one', 'several', 'major', 'hubs', '...', 'bbc.com/news', 'nigeria', 'bbcnews.']",POSITIVE,"... BBC&39;s Madina Maishanu has visited Kano state, one of several major hubs ... bbc.com/news Nigeria BBCNews.",True,17,17
"March 25, 2025 at 03:24AM",Smoggie Queens' Renewed For Season 2 By BBC - Deadline,https://deadline.com/2025/03/bbc-smoggie-queens-renewed-for-season-2-1236347574/,"BBC&39;s &39;Smoggie Queens&39; has been renewed for Series 2 - Hat Trick&39;s show stars Phil Dunning, Michelle Visage, Charlotte Riley and Mark Benton.",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,153,"['bbc&39;s', '&39;smoggie', 'queens&39;', 'renewed', 'series', '2', 'hat', 'trick&39;s', 'show', 'stars', 'phil', 'dunning,', 'michelle', 'visage,', 'charlotte', 'riley', 'mark', 'benton.']",NEGATIVE,"BBC&39;s &39;Smoggie Queens&39; has been renewed for Series 2 - Hat Trick&39;s show stars Phil Dunning, Michelle Visage, Charlotte Riley and Mark Benton.",True,23,23
"March 25, 2025 at 03:41AM",Greenland condemns planned visits by Usha Vance and Trump adviser | BBC News,https://www.youtube.com/watch?v=A8M0P6R51qA,"Greenland&39;s politicians have condemned plans for high-profile US visits, in the wake of President Donald Trump&39;s threats to take over the island.",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,151,"['greenland&39;s', 'politicians', 'condemned', 'plans', 'high-profile', 'us', 'visits,', 'wake', 'president', 'donald', 'trump&39;s', 'threats', 'take', 'island.']",NEGATIVE,"Greenland&39;s politicians have condemned plans for high-profile US visits, in the wake of President Donald Trump&39;s threats to take over the island.",True,22,22
"March 25, 2025 at 03:54AM",Zoe Ball's father says she's in 'a good place' after quitting BBC Radio 2 breakfast show,https://www.independent.co.uk/arts-entertainment/tv/news/zoe-ball-radio-2-breakfast-show-quit-reason-b2720141.html,Broadcaster stepped away from BBC Radio 2 Breakfast show last year to &39;focus on family&39; ? but she will return to the airwaves this spring.,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,144,"['broadcaster', 'stepped', 'away', 'bbc', 'radio', '2', 'breakfast', 'show', 'last', 'year', '&39;focus', 'family&39;', 'return', 'airwaves', 'spring.']",POSITIVE,Broadcaster stepped away from BBC Radio 2 Breakfast show last year to &39;focus on family&39; ? but she will return to the airwaves this spring.,True,25,25
"March 25, 2025 at 04:18AM",BBC Making Liverpool Drama 'The Cage' With Sheridan Smith - Deadline,https://deadline.com/2025/03/bbc-the-cage-drama-sheridan-smith-michael-socha-1236347489/,"The BBC is making a Liverpool drama &39;The Cage&39; with Sheridan Smith, Michael Socha and Tony Schumacher, creator of &39;The Responder&39;.",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,142,"['bbc', 'making', 'liverpool', 'drama', '&39;the', 'cage&39;', 'sheridan', 'smith,', 'michael', 'socha', 'tony', 'schumacher,', 'creator', '&39;the', 'responder&39;.']",POSITIVE,"The BBC is making a Liverpool drama &39;The Cage&39; with Sheridan Smith, Michael Socha and Tony Schumacher, creator of &39;The Responder&39;.",True,21,21
"March 25, 2025 at 06:11AM",Two women who spied for Russia tracked down and named by BBC,https://www.bbc.com/news/articles/cqx0v599wqvo,Bulgarian nationals Cvetelina Gencheva and Tsvetanka Doncheva worked with six spies convicted in London.,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,104,"['bulgarian', 'nationals', 'cvetelina', 'gencheva', 'tsvetanka', 'doncheva', 'worked', 'six', 'spies', 'convicted', 'london.']",POSITIVE,Bulgarian nationals Cvetelina Gencheva and Tsvetanka Doncheva worked with six spies convicted in London.,True,14,14
"March 25, 2025 at 04:11AM",BBC star Steve Stamp rushed to hospital after falling off Lime Bike while drunk,https://www.standard.co.uk/news/london/bbc-star-steve-stamp-hospital-lime-bike-drunk-b1218385.html,"A BBC star has warned of the dangers of drunk cycling after he was rushed to hospital following a nasty fall. Steve Stamp, who stars in the hit&nbsp;...",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,152,"['bbc', 'star', 'warned', 'dangers', 'drunk', 'cycling', 'rushed', 'hospital', 'following', 'nasty', 'fall.', 'steve', 'stamp,', 'stars', 'hit&nbsp;...']",NEGATIVE,"A BBC star has warned of the dangers of drunk cycling after he was rushed to hospital following a nasty fall. Steve Stamp, who stars in the hit&nbsp;...",True,28,28
"March 25, 2025 at 04:56AM",TV tonight: a painful but lovely film about the victims of the pandemic - The Guardian,https://www.theguardian.com/tv-and-radio/2025/mar/24/tv-tonight-a-painful-but-lovely-film-about-the-victims-of-the-pandemic,Love and Loss: The Pandemic 5 Years On on BBC One.,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,50,"['love', 'loss:', 'pandemic', '5', 'years', 'bbc', 'one.']",POSITIVE,Love and Loss: The Pandemic 5 Years On on BBC One.,True,11,11
"March 25, 2025 at 05:58AM",What's being discussed during Russia-US peace talks? | BBC Newscast - YouTube,https://www.youtube.com/watch?v=B5suzRHMzTI,"... BBC Sounds to play Newscast¡±. It works on most smart speakers. You can ... BBC, listen on BBC Sounds: https://bit.ly/3ENLcS1 Subscribe here&nbsp;...",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,153,"['...', 'bbc', 'sounds', 'play', 'newscast¡±.', 'works', 'smart', 'speakers.', '...', 'bbc,', 'listen', 'bbc', 'sounds:', 'https://bit.ly/3enlcs1', 'subscribe', 'here&nbsp;...']",POSITIVE,"... BBC Sounds to play Newscast¡±. It works on most smart speakers. You can ... BBC, listen on BBC Sounds: https://bit.ly/3ENLcS1 Subscribe here&nbsp;...",True,23,23
